,8_de_janeiro_de_2023,abolição,ameaça,armada,associação,atos,atos_antidemocraticos,conduta,congresso_nacional,considerável,constituído,crime,dano,delito,democrático,denuncia,deterioração,direito,emprego,estado,exercício,federal,golpe,governo,grave,grupo,invasão,legitimamente,manifestante,militar,palacio_do_planalto,patrimônio,poder,polícia,praca_dos_tres_poderes,prejuízo,prática,prédio,público,qualificado,relatório,república,réu,sede,tentativa,tombado,união,violencia,voto,vítima
invasão,0.1309042340177977,0.0,0.0,0.0,0.0,0.23848288521409725,0.0,0.08308390665691898,0.3923158330627734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09054079000485148,0.0,0.0,0.0,0.20832469092510486,0.0,0.0,0.15962463578581063,0.055557385881498396,0.29722346610601924,0.048358838403816724,0.0,0.1962620403453114,0.0,0.04002838066691299,0.0,0.34906306008051713,0.19422136422831474,0.0,0.17278242785498565,0.1127720759386445,0.0,0.22221653394732735,0.0,0.0,0.0,0.0,0.0,0.0
legitimamente,0.0,0.16866078025009965,0.42776324973396196,0.0,0.0,0.0,0.0,0.014003294428252693,0.19797729859612262,0.016791287992948385,0.895909140560859,0.034749478064516295,0.0,0.2099409120414988,0.17106908184477537,0.0,0.0,0.15133381378426528,0.4530840349522173,0.2293310511059749,0.5265777720968099,0.034307682368263225,0.13667832073108843,0.7845024727347185,0.46754245060557525,0.0871352941483308,0.0,0.0,0.0,0.21222327383028372,0.0,0.041623942989451976,0.39489694702143036,0.0,0.15623695019451198,0.0,0.0,0.01406787186729777,0.05657058165124788,0.0,0.0,0.0565522949115444,0.1084553412813753,0.3670060678402808,0.11652868684014418,0.0,0.17029385439272585,0.3188542159455828,0.0402539432474583,0.0
manifestante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011783304469829496,0.15962463578581063,0.0,0.0,0.19292942475483502,0.27024800976506674,0.0,0.0,0.28480856180366,0.0,0.0,0.0,0.054119604603247676,0.0,0.0,0.09032761352060652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054044543958902055,0.0
militar,0.0,0.0,0.0,0.00436078538870563,0.0,0.0,0.09317966414949003,0.0,0.0,0.0,0.18206191932983273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392452594194241,0.3138904915868079,0.005948612688360967,0.3338478798279687,0.0,0.15429504000901437,0.055557385881498396,0.21222327383028372,0.19292942475483502,0.0,0.14725257220773666,0.0,0.13129319332739614,0.5098771946327526,0.0,0.0,0.0,0.06318023018118862,0.03133462312380994,0.0,0.07411072933154378,0.07254270832470222,0.0,0.12459313922850825,0.0,0.0,0.0,0.0,0.0,0.0
palacio_do_planalto,0.0,0.0,0.0,0.0,0.0,0.008091805327391743,0.0,0.0,0.37269355594191783,0.0,0.0,0.0,0.0,0.0,0.0,0.011904055613555928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02363425855163744,0.0,0.1710090587851904,0.29722346610601924,0.0,0.27024800976506674,0.14725257220773666,0.0,0.0,0.0,0.16660128666647842,0.06789334145079573,0.0,0.0,0.360055021315605,0.08924393272519772,0.0,0.0,0.0,0.0,0.17939102723819844,0.0,0.0,0.0,0.0,0.0,0.0
patrimônio,0.0,0.2907823674163854,0.33406602753644554,0.346619347289843,0.24606160026250198,0.0,0.0,0.13225836020129886,0.12721419838204048,0.6595347873080456,0.0,0.15784458789303651,0.5379892321044669,0.08561315660340992,0.2139257406199232,0.0964794795417758,0.6561687848710231,0.2061366878154068,0.4201102379535182,0.1455011950158232,0.0,0.017454000140743574,0.18713320995853103,0.0,0.39464812893993034,0.0,0.048358838403816724,0.041623942989451976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6141541444169997,0.14488109490810513,0.0650635821993276,0.2819168930912487,0.6037517398368585,0.08447459375375221,0.0,0.0019243945052915684,0.16487214973085612,0.1563837123849428,0.6636181336994412,0.6582625989649413,0.2251253259153181,0.0,0.6452267510999737
poder,0.0,0.03171604473318342,0.12217519782958548,0.043116475923282986,0.0,0.0,0.008845480980208039,0.0,0.16070725984377132,0.0,0.411440072764078,0.022098477408727692,0.0,0.0963784872538309,0.11752757493944198,0.052177657273324844,0.0,0.1116253672010796,0.21981589825675188,0.09026495675476366,0.5218218723759168,0.0,0.0,0.31266670496420423,0.14051578722733077,0.22398298464842156,0.0,0.39489694702143036,0.0,0.13129319332739614,0.0,0.0,0.0,0.0,0.16592579026353257,0.0,0.0,0.0416756702383414,0.05524118513664365,0.0,0.0,0.24562709177399797,0.0,0.3698078559644502,0.025100856706035145,0.0,0.0,0.10767847656271555,0.0,0.0
polícia,0.062244531765207445,0.0,0.0,0.0,0.0,0.012526410511842627,0.1150292158877235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593833576694746,0.0,0.0,0.0,0.0,0.1962620403453114,0.0,0.28480856180366,0.5098771946327526,0.16660128666647842,0.0,0.0,0.0,0.0,0.0,0.0,0.05622613141792477,0.0,0.0,0.40374518438636775,0.0,0.0,0.1824249137500923,0.0,0.0,0.0,0.0,0.0,0.0
praca_dos_tres_poderes,0.030036759043321523,0.0,0.005458785400767946,0.0,0.0,0.10406133517864938,0.0,0.0,0.34019352772272077,0.0,0.05022148701517994,0.04260688289209587,0.0,0.0,0.0,0.07494811508851382,0.0,0.0,0.19043548707357616,0.0,0.2544505094718112,0.12412400142277079,0.0,0.13045783786088633,0.0,0.14142670089521703,0.0,0.15623695019451198,0.0,0.0,0.06789334145079573,0.0,0.16592579026353257,0.0,0.0,0.0,0.0,0.19652221827499783,0.20965728307373263,0.0,0.0,0.11955963535999617,0.022507172821558695,0.3709324803526499,0.0,0.0,0.0,0.06833438762941284,0.04097987786162922,0.0
prejuízo,0.0,0.34230124273304147,0.48950058100302446,0.3831272160882662,0.259336168161225,0.0,0.0,0.18281797651109674,0.13630880581434196,0.8872007975588054,0.0,0.15740426078370887,0.5692432825130825,0.0,0.2328870850531278,0.09068194615964327,0.6784780447069417,0.21340667663151708,0.5697056987991551,0.11806344010957656,0.0,0.06717743309677181,0.18813897856304934,0.0,0.5230861338425958,0.0,0.04002838066691299,0.0,0.0,0.0,0.0,0.6141541444169997,0.0,0.0,0.0,0.0,0.12965480267948226,0.0477238785095919,0.05656702674432143,0.6383892754699622,0.14878628596728416,0.0,0.0,0.13781708568939036,0.21315490434972448,0.6415669725281046,0.8176965058141089,0.27116469314150926,0.0,0.8781240832182788
prática,0.10681036428279432,0.29038480057416205,0.14598749905530137,0.20713146848100358,0.3767433446889328,0.14318885784247135,0.3294953992942987,0.2875986094197623,0.0,0.2028779217262322,0.0,0.18414216948876097,0.15607002855060328,0.2568244367257283,0.21912756327646227,0.014978880997292441,0.20260841819858244,0.21508896353540946,0.0,0.15947214939988044,0.0,0.0,0.18818860309931312,0.0,0.1215386547269419,0.0,0.0,0.0,0.0,0.0,0.0,0.14488109490810513,0.0,0.0,0.0,0.12965480267948226,0.0,0.0,0.11987195459900554,0.24658366578129973,0.0,0.06766513672520821,0.09334353868117456,0.005937386104242361,0.08182653076831757,0.1813111432346644,0.163205822827999,0.12101580111063376,0.0,0.19644595705644805
prédio,0.00833862109024086,0.0,0.0,0.0,0.0,0.10433423613825195,0.0,0.0,0.39881117454545717,0.039163254941640344,0.0,0.0,0.0,0.0,0.0,0.09377331495827866,0.0,0.0,0.17715542303658788,0.0,0.00965648531374722,0.0,0.0,0.0,0.0,0.14724326162578744,0.34906306008051713,0.01406787186729777,0.054119604603247676,0.06318023018118862,0.360055021315605,0.0650635821993276,0.0416756702383414,0.05622613141792477,0.19652221827499783,0.0477238785095919,0.0,0.0,0.35815449642625774,0.0,0.0,0.0,0.009306595934331786,0.21186707730672552,0.0,0.0,0.04547676351664161,0.0,0.0,0.0
público,0.051111388695743616,0.0,0.0,0.0,0.0,0.12098622138240797,0.0,0.0,0.10457478590708455,0.0,0.0,0.02395083665293978,0.07652884838821136,0.0,0.0,0.03532269654527424,0.0,0.0,0.04071432843614725,0.0,0.11075311130587555,0.18489295395951674,0.0,0.021045904793127075,0.023780321464308852,0.07889964583552962,0.19422136422831474,0.05657058165124788,0.0,0.03133462312380994,0.08924393272519772,0.2819168930912487,0.05524118513664365,0.0,0.20965728307373263,0.05656702674432143,0.11987195459900554,0.35815449642625774,0.0,0.0,0.0,0.09854659926848205,0.0,0.07171150056196791,0.0,0.07143969385259051,0.0,0.020304242777794274,0.0,0.0
qualificado,0.0,0.5269322818637596,0.44294443046432785,0.5882258882160437,0.5045711771343361,0.0,0.0,0.31885578983822427,0.0,0.7719945199586457,0.0,0.25106489470517074,0.6803070934565494,0.10401054302650962,0.41861048911203963,0.14011087304431094,0.7703067701175984,0.39884657200607665,0.473082116731811,0.30852713124548875,0.0,0.0,0.4056259233775939,0.0,0.4963517777622477,0.0,0.0,0.0,0.0,0.0,0.0,0.6037517398368585,0.0,0.0,0.0,0.6383892754699622,0.24658366578129973,0.0,0.0,0.0,0.0,0.0,0.21206330412644026,0.0,0.30265754592600796,0.7874151909476726,0.7304931813327437,0.35527585197787614,0.0,0.7697369414357266
