,8_de_janeiro_de_2023,abolição,ameaça,armada,associação,atos,atos_antidemocraticos,brasília,conduta,congresso_nacional,considerável,constituído,crime,dano,delito,democrático,depredação,destruição,deterioração,estado,federal,golpe,governo,grave,grupo,inflamável,invasão,legitimamente,manifestante,militar,objetivo,palacio_do_planalto,patrimônio,poder,polícia,praca_dos_tres_poderes,prejuízo,prática,prédio,público,qualificado,relatório,república,réu,sede,substância,tentativa,tombado,violencia,vítima
considerável,0.0,0.38309613172070117,0.5842619705704337,0.45363102244159037,0.32186464409525006,0.0,0.0,0.0,0.2098835528364734,0.12846710822397886,0.0,0.0,0.1270380988558993,0.5510141637625164,0.09277500869101263,0.34768447309220724,0.0,0.1866554493020039,0.7260794400970195,0.22794542282831662,0.0,0.26528025457544063,0.0,0.6098537927360865,0.0,0.8398594326389025,0.0,0.0,0.0,0.0,0.0,0.0,0.6599962566448027,0.0,0.0,0.0,0.8295796189351277,0.0,0.0,0.0,0.68087962603409,0.0,0.0,0.0,0.050973499360926065,0.8231734164976959,0.2993485522127414,0.6942448299897181,0.3667407748534499,0.8858796182129661
constituído,0.0,0.007306383376647632,0.43579370492752184,0.0,0.0,0.0,0.0,0.0,0.08302498727586863,0.03258909802321995,0.0,0.0,0.014285743573177606,0.0,0.1626072607437344,0.02944000154669265,0.0,0.22165124760549132,0.025659496403034877,0.1933486660888742,0.0,0.16220806796046713,0.6963643917716914,0.46190155041468883,0.0,0.0,0.0,0.8600005392533496,0.0,0.06309417099391408,0.0,0.0,0.013851158655069846,0.29892681856707964,0.0,0.05194333186945753,0.0,0.0,0.048131022716066375,0.06624141063135949,0.0,0.0,0.0,0.0,0.21820088699613513,0.0,0.04024540399461,0.0,0.28424924837755683,0.0
crime,0.05411375790338168,0.23672852770891295,0.12665232241307312,0.27393163857746716,0.344012921604829,0.03710630093401423,0.1457265428473777,0.0,0.19638908281977774,0.043197023801431776,0.1270380988558993,0.014285743573177606,0.0,0.1520606586663194,0.10411373354334498,0.19370835705476078,0.04359107277694091,0.0,0.12789045800933496,0.1419807196101063,0.0,0.1368780643227714,0.0,0.11207474095013979,0.017296339687688997,0.14031369796847423,0.026024955788251574,0.014610118432077377,0.0,0.0,0.0760912675084467,0.0,0.10243886839451796,0.0,0.0,0.021260474425727635,0.05702760740973342,0.2399760280035588,0.0,0.0,0.23790974071726367,0.0,0.0,0.08562963597792736,0.07837355416440067,0.15042097227337883,0.13475487811525605,0.13858695642645028,0.1390650234575174,0.08919097015806202
dano,0.0,0.3706496225111474,0.3286387867799947,0.43452384628759455,0.33006752461449435,0.0,0.0,0.0,0.1890602022596188,0.0,0.5510141637625164,0.0,0.1520606586663194,0.0,0.2043764503601697,0.32237688102326945,0.0,0.07044506109438332,0.5227924602194857,0.21333426766195293,0.013377529636929815,0.23664786306248078,0.0,0.37031201297015265,0.0,0.5145734888598648,0.0,0.0,0.0,0.0,0.0,0.0,0.4976803663547963,0.0,0.0,0.0,0.5366360559968913,0.16768932402167736,0.0,0.07990106659672512,0.6268363605103049,0.0,0.0,0.009256362738557886,0.0,0.5174393883040068,0.22279853273976571,0.5793390170177531,0.2666305948820331,0.5301195798015212
delito,0.0,0.19698506722074338,0.11780474960360279,0.08911424702977187,0.24281770335846722,0.0,0.12055639387667426,0.0,0.08561280332848006,0.14643067715435085,0.09277500869101263,0.1626072607437344,0.10411373354334498,0.2043764503601697,0.0,0.16336306330768913,0.0,0.07239617610884952,0.14582852083810594,0.1841521619221832,0.0,0.14182214950423866,0.1258778075665579,0.12067490424379297,0.0,0.09136399045188534,0.0,0.14897069311357639,0.0,0.0,0.38232906826567586,0.0,0.13743010811228523,0.05680297515511784,0.0,0.0,0.005513668147925528,0.3093030164873881,0.0,0.0,0.14697029899947486,0.0,0.08555830367656853,0.0,0.0,0.09530379101953376,0.0,0.20946734825975308,0.1015073593704322,0.0915979288916338
democrático,0.0,0.45720906081788204,0.2547236182955361,0.3529651555086135,0.29445383787549206,0.0,0.0,0.0,0.21055436907991582,0.0,0.34768447309220724,0.02944000154669265,0.19370835705476078,0.32237688102326945,0.16336306330768913,0.0,0.0,0.0,0.31370235179798156,0.31977081779393757,0.0,0.28419569480016293,0.005944222954853429,0.25408453264273356,0.0,0.30865471029241853,0.0,0.037954797373068616,0.0,0.002397083974130275,0.09514403510596799,0.0,0.2327677461334031,0.04960151661064401,0.0,0.0,0.2590323468927237,0.21836938230834366,0.0,0.0,0.425858653294855,0.0,0.07849803773072768,0.055500063834092395,0.0,0.3101590064356929,0.2613120289049165,0.3492899445937863,0.28647429982421857,0.3352267150891498
depredação,0.0794663311953676,0.0,0.0,0.0,0.0,0.39151060222402967,0.0,0.11580721460717039,0.2634736555956616,0.44833879877698374,0.0,0.0,0.04359107277694091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011724756628813515,0.0,0.0,0.0,0.0,0.0,0.5870324349600619,0.0,0.14343798269068495,0.19960690354825117,0.0,0.25443041364606345,0.0,0.06145998227373717,0.2690853754732549,0.05982468809607576,0.0,0.0,0.52374122522655,0.26622600184117756,0.0,0.0,0.013651991260845356,0.0,0.3327964247031231,0.0,0.0,0.0,0.0,0.0
destruição,0.0,0.0,0.10342565226883088,0.0,0.0,0.07435579289791386,0.0,0.16433358395320216,0.0,0.41630218045520756,0.1866554493020039,0.22165124760549132,0.0,0.07044506109438332,0.07239617610884952,0.0,0.0,0.0,0.4714842821754761,0.0,0.023673669617256494,0.0,0.1410015501840698,0.21079784522650336,0.18161725090846637,0.42872324708781573,0.131484810938911,0.22109577595773008,0.0,0.0,0.41244911602976914,0.23671025842557367,0.42304499202467133,0.23872659581887207,0.04132160539778497,0.26320528734583115,0.22701613982053265,0.0,0.1973769975710877,0.2741511284500676,0.0,0.0,0.0,0.0,0.35707464765734703,0.4379787076093495,0.0,0.292199492237791,0.08533903993442683,0.07353083651330672
deterioração,0.0,0.34417676637519945,0.4482115215105352,0.42864128671599394,0.2502405546725375,0.0,0.0,0.0,0.0,0.05888668921360078,0.7260794400970195,0.025659496403034877,0.12789045800933496,0.5227924602194857,0.14582852083810594,0.31370235179798156,0.0,0.4714842821754761,0.0,0.2315341200439574,0.0,0.26812177442683194,0.0,0.47954775672682015,0.0,0.6973928754878237,0.0,0.00898618331058794,0.0,0.0,0.0,0.0,0.6508462421623052,0.0,0.0,0.0,0.672150958215028,0.025390566319865804,0.0,0.0,0.6546040675166014,0.0,0.0,0.0,0.15551508140709178,0.6892975292936395,0.1864522983695543,0.8119630733521565,0.32595747208742315,0.744595574088296
estado,0.0,0.31891497690433873,0.20761722436351937,0.261156369182819,0.19254577649637017,0.0,0.0,0.0,0.1808869121669824,0.0,0.22794542282831662,0.1933486660888742,0.1419807196101063,0.21333426766195293,0.1841521619221832,0.31977081779393757,0.0,0.0,0.2315341200439574,0.0,0.0,0.2937416658311779,0.18318200657826086,0.21514754965977018,0.0,0.19434108841627418,0.0,0.20872925619527827,0.0,0.016633581779322077,0.07515786095857248,0.0,0.14556444414397335,0.05371622817959217,0.0,0.0,0.14080914819014556,0.1312782993765701,0.0,0.0,0.31316808952615427,0.0,0.04444872646700234,0.0659067276551196,0.0,0.19639993267955,0.20297901126608495,0.25888720600753995,0.2113581769959431,0.21949674634223518
